english,idlang,language,handshape,twohands,handpart,pmv,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds
all,7,Japanese,5,false,palm,X_left,false,false,false,false,right,false,0,Horizontal,Horizontal,X_left,X_left,X_left false false,X_left,0
animal,7,Japanese,5_nb,false,tip,NA,false,false,true,false,right,false,0,Horizontal,Horizontal,false true,Or_Change,false true,Or,0
bad,7,Japanese,1,false,radial_side,Y_down,false,false,true,false,right,false,0,nose,head,Y_down,Y_down,Y_down false true,Y_down_Or,0
because,7,Japanese,L_enb,true,tip,Z_front,false,false,false,false,right,false,1,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0
bird,7,Japanese,L,false,back_of_palm,NA,true,true,false,false,right,false,0,mouth,head,true false,Hs_Change,true false,Hs,0
black,7,Japanese,E,false,finger_fronts,X_left,false,true,false,false,right,false,0,forehead,head,X_left,X_left,X_left true false,X_left_Hs,0
blood,7,Japanese,I,false,tip,Z_front,false,false,false,false,right,false,0,forearm_front,arm,Z_front,Z_front,Z_front false false,Z_front,0
boring,7,Japanese,M_enb,false,tip,X_right,true,false,false,false,right,false,0,forehead,head,X_right,X_right,X_right false false,X_right,0
brother,7,Japanese,M,false,finger_fronts,Y_up,false,false,false,false,right,false,0,Vertical,Vertical,Y_up,Y_up,Y_up false false,Y_up,0
bug,7,Japanese,1,false,tip,X_right,true,true,false,false,right,false,0,Horizontal,Horizontal,X_right,X_right,X_right true false,X_right_Hs,0
cat,7,Japanese,S_b,false,radial_side,Y_down,true,false,true,false,right,false,0,cheek,head,Y_down,Y_down,Y_down false true,Y_down_Or,0
child,7,Japanese,E,false,palm,X_left,false,false,false,false,right,false,0,Horizontal,Horizontal,X_left,X_left,X_left false false,X_left,0
correct,7,Japanese,1_b,true,tip,Y_up,false,false,false,false,right,false,1,Torso_mid,torso,Y_up,Y_up,Y_up false false,Y_up,0
count,7,Japanese,6,true,ulnar_side,X_right,true,false,false,false,right,false,1,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0
dance,7,Japanese,V,false,tip,NA,true,false,true,false,right,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,0
day,7,Japanese,B,false,back_of_palm,Y_up,false,false,false,false,right,false,0,Lateral,Lateral,Y_up,Y_up,Y_up false false,Y_up,0
die,7,Japanese,E,true,palm,X_right,false,false,true,false,right,false,1,Lateral,Lateral,X_right,X_right,X_right false true,X_right_Or,0
dirty,7,Japanese,L_b,false,tip,Z_back,false,false,false,false,right,false,0,nose,head,Z_back,Z_back,Z_back false false,Z_back,0
dog,7,Japanese,E,true,radial_side,NA,false,true,false,false,right,false,1,Lateral,Lateral,true false,Hs_Change,true false,Hs,0
dry,7,Japanese,5_b,true,back_of_palm,Y_up,false,true,false,false,right,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up true false,Y_up_Hs,0
dust,7,Japanese,5_b,true,tip,X_right,false,true,false,false,right,false,1,Horizontal,Horizontal,X_right,X_right,X_right true false,X_right_Hs,0
earth,7,Japanese,5_nb,true,tip,Y_down,false,false,false,false,right,false,1,Lateral,Lateral,Y_down,Y_down,Y_down false false,Y_down,0
egg,7,Japanese,E_nb,true,back_of_fingers,Z_front,false,false,true,false,right,false,1,Vertical,Vertical,Z_front,Z_front,Z_front false true,Z_front_Or,0
father,7,Japanese,1,false,finger_fronts,X_right,false,true,false,false,right,false,0,cheek,head,X_right,X_right,X_right true false,X_right_Hs,1
fire,7,Japanese,5,false,palm,Y_up,false,false,true,false,right,false,0,Lateral,Lateral,Y_up,Y_up,Y_up false true,Y_up_Or,0
fish,7,Japanese,E,false,finger_fronts,X_right,false,false,false,false,right,false,0,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0
flower,7,Japanese,E_bnb,true,tip,NA,false,true,true,false,right,false,1,Lateral,Lateral,true true,Or_HS_Change,true true,Hs_Or,0
full,7,Japanese,5,true,palm,X_left,false,false,false,false,right,false,1,Vertical,Vertical,X_left,X_left,X_left false false,X_left,0
good,7,Japanese,S,false,radial_side,Z_front,false,false,false,false,right,false,0,nose,head,Z_front,Z_front,Z_front false false,Z_front,0
grass,7,Japanese,5,true,finger_fronts,X_left,true,false,false,false,right,false,1,Vertical,Vertical,X_left,X_left,X_left false false,X_left,0
grease,7,Japanese,E_b,false,finger_fronts,NA,false,true,false,false,right,false,0,Horizontal,Horizontal,true false,Hs_Change,true false,Hs,0
green,7,Japanese,5,true,finger_fronts,X_left,true,false,false,false,right,false,1,Vertical,Vertical,X_left,X_left,X_left false false,X_left,0
heavy,7,Japanese,5,true,back_of_palm,Y_down,false,false,false,false,right,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
how,7,Japanese,1,false,finger_fronts,X_right,true,false,false,true,right,false,0,Vertical,Vertical,X_right,X_right,X_right false false,X_right,1
husband,7,Japanese,A,false,back_of_palm,X_left,false,false,false,false,right,false,0,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0
ice,7,Japanese,5_nb,false,tip,Z_front,true,false,false,false,right,false,0,palm,hand,Z_front,Z_front,Z_front false false,Z_front,0
if,7,Japanese,L,false,tip,Y_down,false,true,false,false,right,false,0,cheek,head,Y_down,Y_down,Y_down true false,Y_down_Hs,0
kill,7,Japanese,S_b,true,radial_side,Z_front,false,false,false,false,right,false,1,Horizontal,Horizontal,Z_front,Z_front,Z_front false false,Z_front,0
laugh,7,Japanese,E,true,finger_fronts,X_left,false,true,false,false,right,false,1,Lateral,Lateral,X_left,X_left,X_left true false,X_left_Hs,0
leaf,7,Japanese,L_nb,true,tip,X_left,false,true,false,false,right,false,1,Lateral,Lateral,X_left,X_left,X_left true false,X_left_Hs,0
lie,7,Japanese,1,false,tip,Z_back,false,false,false,false,right,false,0,cheek,head,Z_back,Z_back,Z_back false false,Z_back,0
live,7,Japanese,L,true,finger_fronts,X_left,true,false,false,false,right,false,1,Vertical,Vertical,X_left,X_left,X_left false false,X_left,0
long,7,Japanese,1_b,true,tip,X_left,false,false,false,false,right,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0
look_for,7,Japanese,L_enb,false,radial_side,X_left,true,false,false,false,right,false,0,Vertical,Vertical,X_left,X_left,X_left false false,X_left,0
man,7,Japanese,A,true,radial_side,Z_front,false,false,false,false,right,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0
meat,7,Japanese,L_eb,false,tip,Z_front,false,false,false,false,right,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front false false,Z_front,0
moon,7,Japanese,L_b,false,ulnar_side,Y_down,false,true,false,false,right,false,0,Vertical,Vertical,Y_down,Y_down,Y_down true false,Y_down_Hs,0
mother,7,Japanese,J,false,tip,X_right,false,false,false,false,right,false,0,cheek,head,X_right,X_right,X_right false false,X_right,1
mountain,7,Japanese,E,true,tip,X_left,false,false,false,false,right,false,1,Horizontal,Horizontal,X_left,X_left,X_left false false,X_left,0
name,7,Japanese,A,false,tip,X_right,true,false,false,false,right,false,0,palm,hand,X_right,X_right,X_right false false,X_right,0
narrow,7,Japanese,B,true,palm,X_right,false,false,false,false,right,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
new,7,Japanese,E_bnb,true,tip,Z_front,false,true,false,false,right,false,1,Vertical,Vertical,Z_front,Z_front,Z_front true false,Z_front_Hs,0
night,7,Japanese,5,true,palm,X_right,false,false,false,false,right,false,1,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0
not,7,Japanese,E_b,false,finger_fronts,Z_front,false,false,false,false,right,false,0,palm,hand,Z_front,Z_front,Z_front false false,Z_front,0
old,7,Japanese,1,false,tip,Y_down,false,true,false,false,right,false,0,Lateral,Lateral,Y_down,Y_down,Y_down true false,Y_down_Hs,0
other,7,Japanese,4,false,finger_fronts,Z_front,false,false,false,false,right,false,0,finger_fronts,hand,Z_front,Z_front,Z_front false false,Z_front,0
person,7,Japanese,1,false,tip,Y_down,false,false,false,false,right,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false false,Y_down,0
pig,7,Japanese,U,false,tip,Z_back,false,false,false,false,right,false,0,nose,head,Z_back,Z_back,Z_back false false,Z_back,0
play,7,Japanese,S,true,ulnar_side,Y_down,false,false,false,false,right,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
rain,7,Japanese,5,true,tip,Y_down,true,false,false,false,right,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
red,7,Japanese,1,false,tip,X_left,false,false,false,false,right,false,0,mouth,head,X_left,X_left,X_left false false,X_left,0
river,7,Japanese,6,false,finger_fronts,X_right,false,false,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
salt,7,Japanese,I,false,tip,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,1
sea,7,Japanese,I,false,tip,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,1
sharp,7,Japanese,L_b,false,radial_side,X_left,false,true,false,false,right,false,0,tip,hand,X_left,X_left,X_left true false,X_left_Hs,0
short,7,Japanese,L_b,true,tip,X_right,false,false,false,false,right,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
singing,7,Japanese,H,true,finger_fronts,Z_front,true,false,false,false,right,false,1,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0
sister,7,Japanese,I,false,tip,Y_down,true,false,false,false,right,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false false,Y_down,0
sit,7,Japanese,V_nb,false,tip,Y_down,false,false,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
smooth,7,Japanese,E,false,radial_side,Y_down,false,false,false,false,right,false,0,cheek,head,Y_down,Y_down,Y_down false false,Y_down,0
snake,7,Japanese,S_b,false,back_of_palm,Z_front,false,false,false,false,right,false,0,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0
snow,7,Japanese,L_enb,true,ulnar_side,Y_down,false,false,true,false,right,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false true,Y_down_Or,0
stand,7,Japanese,V,false,tip,Y_down,false,false,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
star,7,Japanese,E_bnb,false,tip,X_left,true,true,false,false,right,false,0,Lateral,Lateral,X_left,X_left,X_left true false,X_left_Hs,0
stone,7,Japanese,S,false,back_of_fingers,Y_up,false,false,false,false,right,false,0,below_chin,head,Y_up,Y_up,Y_up false false,Y_up,0
string,7,Japanese,1,false,finger_fronts,Y_down,false,false,false,false,right,false,0,Lateral,Lateral,Y_down,Y_down,Y_down false false,Y_down,0
sun,7,Japanese,L,true,tip,Y_up,false,false,false,false,right,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,1
thin,7,Japanese,E,true,palm,Y_down,false,false,false,false,right,false,1,Lateral,Lateral,Y_down,Y_down,Y_down false false,Y_down,0
tree,7,Japanese,L_nb,true,radial_side,Y_up,false,false,true,false,right,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false true,Y_up_Or,0
vomit,7,Japanese,E_bnb,false,finger_fronts,Z_front,false,true,false,false,right,false,0,mouth,head,Z_front,Z_front,Z_front true false,Z_front_Hs,0
warm,7,Japanese,5,true,finger_fronts,Z_back,true,false,true,false,right,false,1,Vertical,Vertical,Z_back,Z_back,Z_back false true,Z_back_Or,0
water,7,Japanese,5,false,tip,X_left,false,false,true,false,right,false,0,Lateral,Lateral,X_left,X_left,X_left false true,X_left_Or,0
wet,7,Japanese,E,true,finger_fronts,X_left,false,true,false,false,right,false,1,Horizontal,Horizontal,X_left,X_left,X_left true false,X_left_Hs,0
what,7,Japanese,1,false,finger_fronts,X_right,true,false,false,false,right,false,0,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0
when,7,Japanese,5,true,tip,NA,true,true,false,false,right,false,1,Vertical,Vertical,true false,Hs_Change,true false,Hs,0
where,7,Japanese,1,false,finger_fronts,X_right,false,false,false,false,right,false,0,Vertical,Vertical,X_right,X_right,X_right false false,X_right,1
white,7,Japanese,1_nb,false,tip,X_left,false,false,false,false,right,false,0,mouth,head,X_left,X_left,X_left false false,X_left,0
who,7,Japanese,B_b,false,back_of_fingers,Z_front,true,false,false,false,right,false,0,cheek,head,Z_front,Z_front,Z_front false false,Z_front,0
wide,7,Japanese,E,true,back_of_palm,X_left,false,false,false,false,right,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0
wife,7,Japanese,I,false,radial_side,X_left,false,false,false,false,right,false,0,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0
wind,7,Japanese,5,true,palm,X_right,true,false,false,false,right,false,1,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0
with,7,Japanese,L,true,finger_fronts,X_right,false,false,false,false,right,false,1,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0
woman,7,Japanese,I,true,finger_fronts,Z_back,false,false,true,false,right,false,1,Vertical,Vertical,Z_back,Z_back,Z_back false true,Z_back_Or,0
wood,7,Japanese,L,true,radial_side,Y_up,false,false,true,false,right,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false true,Y_up_Or,0
work,7,Japanese,B_b,true,palm,X_right,true,false,false,false,right,false,1,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0
worm,7,Japanese,1,false,tip,X_right,false,false,false,false,left,false,0,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0
year,7,Japanese,1,false,tip,Z_front,false,false,false,false,left,false,0,finger_fronts,hand,Z_front,Z_front,Z_front false false,Z_front,0
yellow,7,Japanese,L,false,tip,NA,true,true,false,false,right,false,0,Lateral,Lateral,true false,Hs_Change,true false,Hs,0
all,35,Chinese,S,false,back_of_fingers,Y_up,false,false,true,false,right,false,0,Lateral,Lateral,Y_up,Y_up,Y_up false true,Y_up_Or,1
animal,35,Chinese,S,false,finger_fronts,Z_back,true,false,false,false,right,false,0,Lateral,Lateral,Z_back,Z_back,Z_back false false,Z_back,1
bad,35,Chinese,I,false,ulnar_side,Z_front,false,false,false,false,right,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0
because,35,Chinese,L_nb,false,tip,NA,false,false,true,false,right,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,1
bird,35,Chinese,L_b,false,tip,NA,false,true,false,false,right,false,0,mouth,head,true false,Hs_Change,true false,Hs,0
black,35,Chinese,H,false,finger_fronts,Y_down,false,false,false,false,right,false,0,top,head,Y_down,Y_down,Y_down false false,Y_down,0
blood,35,Chinese,E,false,tip,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,1
boring,35,Chinese,X,false,radial_side,NA,false,true,false,false,right,false,0,chin,head,true false,Hs_Change,true false,Hs,1
brother,35,Chinese,M,false,tip,Z_back,false,false,false,false,right,false,0,chin,head,Z_back,Z_back,Z_back false false,Z_back,1
bug,35,Chinese,E,false,palm,X_right,true,true,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right true false,X_right_Hs,1
cat,35,Chinese,L_eb,false,tip,X_left,false,false,false,false,right,false,0,chin,head,X_left,X_left,X_left false false,X_left,0
child,35,Chinese,E,false,palm,Y_down,true,false,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
correct,35,Chinese,E,false,radial_side,Z_front,true,false,false,false,right,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0
count,35,Chinese,E_b,false,back_of_fingers,X_right,true,false,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
dance,35,Chinese,Y,false,tip,X_right,true,false,false,false,right,false,0,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0
day,35,Chinese,E,false,palm,Y_down,false,false,false,false,right,false,0,back_of_palm,hand,Y_down,Y_down,Y_down false false,Y_down,1
die,35,Chinese,Y,false,tip,X_left,false,false,true,false,right,false,0,Horizontal,Horizontal,X_left,X_left,X_left false true,X_left_Or,0
dirty,35,Chinese,I,false,tip,X_left,true,false,false,false,right,false,0,back_of_palm,hand,X_left,X_left,X_left false false,X_left,0
dog,35,Chinese,5_nb,false,tip,Y_down,true,false,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
dry,35,Chinese,1,false,finger_fronts,Y_down,false,false,false,false,right,false,0,finger_fronts,hand,Y_down,Y_down,Y_down false false,Y_down,0
dust,35,Chinese,U,false,finger_fronts,Y_down,false,false,false,false,right,false,0,cheek,head,Y_down,Y_down,Y_down false false,Y_down,1
earth,35,Chinese,1,false,tip,Y_down,false,false,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,1
egg,35,Chinese,3,false,tip,NA,false,false,true,false,right,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,1
father,35,Chinese,A,false,radial_side,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0
feather,35,Chinese,5,false,finger_fronts,X_left,true,true,false,false,right,false,0,back_of_palm,hand,X_left,X_left,X_left true false,X_left_Hs,0
fire,35,Chinese,5,false,tip,Y_up,true,false,false,false,right,false,0,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0
fish,35,Chinese,E,false,tip,X_left,false,false,true,false,right,false,0,Lateral,Lateral,X_left,X_left,X_left false true,X_left_Or,0
flower,35,Chinese,E_bnb,false,tip,NA,true,true,false,false,right,false,0,Horizontal,Horizontal,true false,Hs_Change,true false,Hs,0
full,35,Chinese,E,false,back_of_fingers,Y_up,false,false,false,false,right,false,0,below_chin,head,Y_up,Y_up,Y_up false false,Y_up,0
