english,idlang,language,handshape,twohands,handpart,pmv,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds
rain,50,Hongkong,4_nb,true,palm,Y_down,true,false,false,false,right,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
red,50,Hongkong,1,false,tip,Y_down,true,false,false,false,right,false,0,mouth,head,Y_down,Y_down,Y_down false false,Y_down,0
river,50,Hongkong,6,false,heel,Y_down,false,false,true,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false true,Y_down_Or,1
salt,50,Hongkong,5,false,tip,NA,true,true,false,false,right,false,0,mouth,head,true false,Hs_Change,true false,Hs,0
sea,50,Hongkong,5,true,tip,Z_front,true,false,false,false,right,false,1,Horizontal,Horizontal,Z_front,Z_front,Z_front false false,Z_front,0
sharp,50,Hongkong,L_b,false,tip,X_left,false,true,false,false,right,false,0,tip,hand,X_left,X_left,X_left true false,X_left_Hs,0
short,50,Hongkong,1,false,finger_fronts,X_right,false,false,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
singing,50,Hongkong,S,false,radial_side,X_right,true,false,false,false,right,false,0,mouth,head,X_right,X_right,X_right false false,X_right,0
sister,50,Hongkong,M,false,tip,Z_back,false,false,false,false,right,false,0,chin,head,Z_back,Z_back,Z_back false false,Z_back,1
sit,50,Hongkong,Y,false,ulnar_side,Y_down,false,false,false,false,right,false,0,palm,hand,Y_down,Y_down,Y_down false false,Y_down,0
smooth,50,Hongkong,E,false,finger_fronts,Z_front,false,false,false,false,right,false,0,elbow_front,arm,Z_front,Z_front,Z_front false false,Z_front,0
snake,50,Hongkong,V,false,heel,NA,false,false,true,false,right,false,0,mouth,head,false true,Or_Change,false true,Or,0
snow,50,Hongkong,A,false,back_of_fingers,X_right,false,false,false,false,right,false,0,cheek,head,X_right,X_right,X_right false false,X_right,1
stand,50,Hongkong,Y,false,tip,Y_down,false,false,false,false,right,false,0,palm,hand,Y_down,Y_down,Y_down false false,Y_down,0
star,50,Hongkong,L_enb,true,ulnar_side,X_right,true,false,false,false,right,false,1,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0
stone,50,Hongkong,V,false,radial_side,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0
string,50,Hongkong,6,false,tip,X_left,false,false,false,false,right,false,0,Horizontal,Horizontal,X_left,X_left,X_left false false,X_left,0
sun,50,Hongkong,E_bnb,false,tip,X_right,true,true,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right true false,X_right_Hs,0
tail,50,Hongkong,I,false,heel,NA,true,true,false,false,right,false,0,palm,hand,true false,Hs_Change,true false,Hs,0
thin,50,Hongkong,E,false,finger_fronts,Y_down,false,true,false,false,right,false,0,chin,head,Y_down,Y_down,Y_down true false,Y_down_Hs,0
tree,50,Hongkong,L,true,ulnar_side,Y_up,false,false,false,false,right,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0
vomit,50,Hongkong,E,false,palm,Z_front,false,false,false,false,right,false,0,mouth,head,Z_front,Z_front,Z_front false false,Z_front,0
warm,50,Hongkong,E,true,finger_fronts,NA,true,false,true,false,right,false,1,shoulder,torso,false true,Or_Change,false true,Or,0
water,50,Hongkong,6,false,finger_fronts,Y_down,true,false,true,false,right,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false true,Y_down_Or,0
wet,50,Hongkong,E,false,finger_fronts,X_left,true,true,false,false,right,false,0,Horizontal,Horizontal,X_left,X_left,X_left true false,X_left_Hs,0
what,50,Hongkong,1,false,finger_fronts,NA,true,false,true,false,right,false,0,Vertical,Vertical,false true,Or_Change,false true,Or,0
when,50,Hongkong,5,false,heel,NA,true,true,false,false,right,false,0,wrist_back,arm,true false,Hs_Change,true false,Hs,0
where,50,Hongkong,L_eb,false,ulnar_side,Y_down,false,false,false,false,right,false,0,palm,hand,Y_down,Y_down,Y_down false false,Y_down,1
white,50,Hongkong,E_bnb,false,tip,NA,true,true,false,false,right,false,0,Vertical,Vertical,true false,Hs_Change,true false,Hs,0
who,50,Hongkong,1,false,tip,X_right,false,false,false,false,right,false,0,forehead,head,X_right,X_right,X_right false false,X_right,1
wide,50,Hongkong,S,true,radial_side,X_left,false,false,false,false,right,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0
wife,50,Hongkong,A,true,tip,NA,false,true,false,false,right,false,1,Lateral,Lateral,true false,Hs_Change,true false,Hs,1
wind,50,Hongkong,5,false,palm,NA,true,false,true,false,right,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,0
with,50,Hongkong,U_b,false,finger_fronts,NA,false,true,false,false,right,false,0,back_of_fingers,hand,true false,Hs_Change,true false,Hs,0
woman,50,Hongkong,A,false,radial_side,Z_back,false,false,false,false,right,false,0,cheek,head,Z_back,Z_back,Z_back false false,Z_back,0
wood,50,Hongkong,1,false,finger_fronts,X_left,false,false,false,false,right,false,0,radial_side,hand,X_left,X_left,X_left false false,X_left,0
work,50,Hongkong,S,false,ulnar_side,Y_down,true,false,false,false,right,false,0,radial_side,hand,Y_down,Y_down,Y_down false false,Y_down,0
worm,50,Hongkong,1,false,finger_fronts,Z_front,true,true,false,false,right,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front true false,Z_front_Hs,0
year,50,Hongkong,5,false,palm,X_right,false,false,false,false,right,false,0,palm,hand,X_right,X_right,X_right false false,X_right,0
yellow,50,Hongkong,5_nb,false,tip,NA,false,false,true,false,right,false,0,Horizontal,Horizontal,false true,Or_Change,false true,Or,0
all,51,Taiwan,5,true,palm,Y_down,false,false,false,false,right,false,1,Lateral,Lateral,Y_down,Y_down,Y_down false false,Y_down,0
animal,51,Taiwan,S,true,back_of_fingers,Z_front,false,false,false,false,right,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,1
bad,51,Taiwan,S,false,heel,X_right,false,false,false,false,right,false,0,nose,head,X_right,X_right,X_right false false,X_right,0
because,51,Taiwan,L_eb,true,tip,Y_down,false,false,false,false,right,false,1,Lateral,Lateral,Y_down,Y_down,Y_down false false,Y_down,0
bird,51,Taiwan,L,false,back_of_palm,NA,true,true,false,false,right,false,0,mouth,head,true false,Hs_Change,true false,Hs,0
black,51,Taiwan,E,false,palm,Y_down,false,false,false,false,right,false,0,top,head,Y_down,Y_down,Y_down false false,Y_down,0
blood,51,Taiwan,A,false,back_of_fingers,Y_down,false,false,false,false,right,false,0,finger_fronts,hand,Y_down,Y_down,Y_down false false,Y_down,0
boring,51,Taiwan,E,true,tip,NA,true,true,false,false,right,false,1,Lateral,Lateral,true false,Hs_Change,true false,Hs,0
brother,51,Taiwan,M,false,tip,Y_up,false,false,false,false,right,false,0,cheek,head,Y_up,Y_up,Y_up false false,Y_up,1
bug,51,Taiwan,I,false,ulnar_side,X_right,true,true,false,false,right,false,0,Horizontal,Horizontal,X_right,X_right,X_right true false,X_right_Hs,0
cat,51,Taiwan,L_eb,true,radial_side,Z_front,true,false,false,false,right,false,1,cheek,head,Z_front,Z_front,Z_front false false,Z_front,0
child,51,Taiwan,5,true,back_of_palm,NA,true,false,true,false,right,false,1,shoulder,torso,false true,Or_Change,false true,Or,0
correct,51,Taiwan,1,false,finger_fronts,Y_down,false,false,false,false,right,false,0,finger_fronts,hand,Y_down,Y_down,Y_down false false,Y_down,0
count,51,Taiwan,E,false,tip,NA,true,false,true,false,right,false,0,palm,hand,false true,Or_Change,false true,Or,0
dance,51,Taiwan,5,true,palm,NA,true,false,true,false,right,false,1,shoulder,torso,false true,Or_Change,false true,Or,0
day,51,Taiwan,1,false,radial_side,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0
die,51,Taiwan,5,false,heel,NA,false,false,true,false,right,false,0,tip,hand,false true,Or_Change,false true,Or,0
dirty,51,Taiwan,1,false,finger_fronts,X_right,false,false,false,false,right,false,0,nose,head,X_right,X_right,X_right false false,X_right,0
dog,51,Taiwan,E,true,radial_side,NA,true,true,false,false,right,false,1,forehead,head,true false,Hs_Change,true false,Hs,0
dry,51,Taiwan,E,false,tip,Y_down,false,false,false,false,right,false,0,neck,torso,Y_down,Y_down,Y_down false false,Y_down,0
earth,51,Taiwan,5_b,true,tip,X_left,false,false,false,false,right,false,1,Horizontal,Horizontal,X_left,X_left,X_left false false,X_left,0
egg,51,Taiwan,5_b,false,tip,NA,true,false,true,false,right,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,0
father,51,Taiwan,L,false,tip,X_left,false,true,false,false,right,false,0,cheek,head,X_left,X_left,X_left true false,X_left_Hs,0
fire,51,Taiwan,5,true,back_of_palm,Y_up,true,false,false,false,right,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0
fish,51,Taiwan,E,false,tip,X_right,false,true,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right true false,X_right_Hs,0
flower,51,Taiwan,E_bnb,false,back_of_palm,Y_up,false,true,false,false,right,false,0,Horizontal,Horizontal,Y_up,Y_up,Y_up true false,Y_up_Hs,0
full,51,Taiwan,E,false,palm,Z_front,false,false,false,false,right,false,0,radial_side,hand,Z_front,Z_front,Z_front false false,Z_front,0
good,51,Taiwan,S,false,radial_side,Z_back,false,false,false,false,right,false,0,nose,head,Z_back,Z_back,Z_back false false,Z_back,0
grass,51,Taiwan,5_b,true,tip,X_left,false,true,false,false,right,false,1,Horizontal,Horizontal,X_left,X_left,X_left true false,X_left_Hs,0
grease,51,Taiwan,U_nb,true,tip,Z_front,true,false,false,false,right,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0
green,51,Taiwan,1,false,tip,NA,true,true,false,false,right,false,0,mouth,head,true false,Hs_Change,true false,Hs,0
heavy,51,Taiwan,E,true,back_of_fingers,Y_down,false,false,false,false,right,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
how,51,Taiwan,A,false,back_of_palm,NA,true,true,false,false,right,false,0,Horizontal,Horizontal,true false,Hs_Change,true false,Hs,0
husband,51,Taiwan,I,false,ulnar_side,X_right,false,false,false,false,right,false,0,radial_side,hand,X_right,X_right,X_right false false,X_right,0
ice,51,Taiwan,1,false,radial_side,X_left,false,false,true,false,right,false,0,mouth,head,X_left,X_left,X_left false true,X_left_Or,0
if,51,Taiwan,B_b,false,tip,NA,true,false,true,false,right,false,0,cheek,head,false true,Or_Change,false true,Or,0
kill,51,Taiwan,E,false,ulnar_side,Z_front,false,false,false,false,right,false,0,finger_fronts,hand,Z_front,Z_front,Z_front false false,Z_front,0
laugh,51,Taiwan,L,false,finger_fronts,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0
leaf,51,Taiwan,1,false,tip,NA,true,false,true,false,right,false,0,finger_fronts,hand,false true,Or_Change,false true,Or,0
lie,51,Taiwan,1_nb,false,tip,Z_back,true,false,false,false,right,false,0,cheek,head,Z_back,Z_back,Z_back false false,Z_back,0
live,51,Taiwan,S,false,back_of_fingers,Z_back,false,false,false,false,right,false,0,cheek,head,Z_back,Z_back,Z_back false false,Z_back,0
long,51,Taiwan,1_b,true,tip,X_left,false,false,false,false,right,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0
look_for,51,Taiwan,L_enb,false,radial_side,X_right,true,false,false,false,right,false,0,eye,head,X_right,X_right,X_right false false,X_right,0
man,51,Taiwan,A,false,heel,X_right,true,false,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
meat,51,Taiwan,5_b,false,tip,Y_down,false,false,false,false,right,false,0,radial_side,hand,Y_down,Y_down,Y_down false false,Y_down,0
moon,51,Taiwan,L,false,tip,Y_down,false,false,false,false,right,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false false,Y_down,0
mother,51,Taiwan,1,false,finger_fronts,X_right,false,false,false,false,right,false,0,cheek,head,X_right,X_right,X_right false false,X_right,1
mountain,51,Taiwan,E,false,palm,X_left,false,true,false,false,right,false,0,Horizontal,Horizontal,X_left,X_left,X_left true false,X_left_Hs,0
name,51,Taiwan,A,false,finger_fronts,X_right,false,false,false,false,right,false,0,palm,hand,X_right,X_right,X_right false false,X_right,1
narrow,51,Taiwan,E,true,palm,X_right,false,false,false,false,right,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
new,51,Taiwan,E_bnb,false,back_of_palm,Z_front,false,true,false,false,right,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front true false,Z_front_Hs,0
night,51,Taiwan,E,true,back_of_palm,X_right,false,false,false,false,right,false,1,forehead,head,X_right,X_right,X_right false false,X_right,0
not,51,Taiwan,5,false,palm,X_right,true,false,false,false,right,false,0,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0
old,51,Taiwan,1,false,finger_fronts,Y_up,true,false,false,false,right,false,0,nose,head,Y_up,Y_up,Y_up false false,Y_up,0
other,51,Taiwan,E,false,back_of_fingers,X_left,false,false,false,false,right,false,0,back_of_fingers,hand,X_left,X_left,X_left false false,X_left,0
person,51,Taiwan,1,false,tip,Y_down,true,false,false,false,right,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false false,Y_down,0
pig,51,Taiwan,Y,false,heel,Z_back,true,false,false,false,right,false,0,nose,head,Z_back,Z_back,Z_back false false,Z_back,0
play,51,Taiwan,1,true,heel,NA,true,false,true,false,right,false,1,forehead,head,false true,Or_Change,false true,Or,0
rain,51,Taiwan,5,true,tip,Y_down,true,false,false,false,right,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
red,51,Taiwan,1,false,tip,Y_down,false,false,false,false,right,false,0,mouth,head,Y_down,Y_down,Y_down false false,Y_down,0
river,51,Taiwan,E,false,back_of_fingers,X_left,false,false,false,false,right,false,0,upper,arm,X_left,X_left,X_left false false,X_left,0
salt,51,Taiwan,Y,false,tip,Z_back,true,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0
sea,51,Taiwan,Y,false,tip,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,1
short,51,Taiwan,1_b,true,tip,X_right,false,false,false,false,right,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
singing,51,Taiwan,5,false,back_of_palm,X_left,false,false,false,false,right,false,0,mouth,head,X_left,X_left,X_left false false,X_left,0
sit,51,Taiwan,V_nb,false,finger_fronts,Y_down,false,false,false,false,right,false,0,back_of_fingers,hand,Y_down,Y_down,Y_down false false,Y_down,0
snake,51,Taiwan,V,false,heel,NA,true,true,false,false,right,false,0,mouth,head,true false,Hs_Change,true false,Hs,0
snow,51,Taiwan,5,true,back_of_palm,Y_down,false,true,false,false,right,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down true false,Y_down_Hs,0
stand,51,Taiwan,H,false,tip,Y_down,false,false,false,false,right,false,0,palm,hand,Y_down,Y_down,Y_down false false,Y_down,0
star,51,Taiwan,E_bnb,true,tip,X_left,false,true,false,false,right,false,1,Horizontal,Horizontal,X_left,X_left,X_left true false,X_left_Hs,1
stone,51,Taiwan,B_nb,false,heel,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0
string,51,Taiwan,6,true,tip,X_left,false,false,false,false,right,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0
sun,51,Taiwan,S,false,tip,NA,false,true,false,false,right,false,0,Lateral,Lateral,true false,Hs_Change,true false,Hs,0
tail,51,Taiwan,1,false,heel,NA,true,true,false,false,right,false,0,elbow_front,arm,true false,Hs_Change,true false,Hs,0
thin,51,Taiwan,E,true,finger_fronts,Y_down,false,false,false,false,right,false,1,cheek,head,Y_down,Y_down,Y_down false false,Y_down,0
tree,51,Taiwan,5,false,heel,NA,true,false,true,false,right,false,0,back_of_fingers,hand,false true,Or_Change,false true,Or,1
vomit,51,Taiwan,5,false,palm,Z_front,false,false,false,false,right,false,0,mouth,head,Z_front,Z_front,Z_front false false,Z_front,0
warm,51,Taiwan,4_nb,true,back_of_palm,Z_front,true,false,false,false,right,false,1,Horizontal,Horizontal,Z_front,Z_front,Z_front false false,Z_front,0
water,51,Taiwan,5,false,palm,NA,false,false,true,false,right,false,0,Horizontal,Horizontal,false true,Or_Change,false true,Or,0
what,51,Taiwan,1,true,tip,Z_front,true,false,false,false,right,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0
when,51,Taiwan,L,false,tip,NA,false,false,true,false,right,false,0,palm,hand,false true,Or_Change,false true,Or,1
where,51,Taiwan,1,false,tip,NA,false,true,false,false,right,false,0,Horizontal,Horizontal,true false,Hs_Change,true false,Hs,0
white,51,Taiwan,1,false,tip,Z_back,true,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0
who,51,Taiwan,A,false,back_of_fingers,Y_up,false,false,false,false,right,false,0,cheek,head,Y_up,Y_up,Y_up false false,Y_up,0
wife,51,Taiwan,I,false,ulnar_side,Y_up,false,false,false,false,right,false,0,Vertical,Vertical,Y_up,Y_up,Y_up false false,Y_up,0
wind,51,Taiwan,E,true,palm,X_right,false,false,false,false,right,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
with,51,Taiwan,V,false,tip,NA,false,false,true,false,right,false,0,tip,hand,false true,Or_Change,false true,Or,0
woman,51,Taiwan,I,false,ulnar_side,X_right,true,false,false,false,right,false,0,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0
wood,51,Taiwan,S_b,true,heel,Z_front,true,false,false,false,right,false,1,wrist_back,arm,Z_front,Z_front,Z_front false false,Z_front,0
work,51,Taiwan,S,false,ulnar_side,Y_down,true,false,false,false,right,false,0,radial_side,hand,Y_down,Y_down,Y_down false false,Y_down,0
worm,51,Taiwan,I,false,ulnar_side,X_right,true,false,false,false,right,false,0,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0
year,51,Taiwan,1,true,tip,Y_down,false,false,false,false,right,false,1,tip,hand,Y_down,Y_down,Y_down false false,Y_down,0
yellow,51,Taiwan,L,false,tip,NA,true,true,false,false,right,false,0,forehead,head,true false,Hs_Change,true false,Hs,0
