english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,annotator,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL,,
all,German,5,true,radial_side,false,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
animal,German,5_nb,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
bad,German,E,false,palm,false,true,false,false,right,false,false,false,false,carlo,0,Vertical,Vertical,true,false,Hs_Change,true,false,Hs,0,DGS,WestEuro,DGS
because,German,1,false,tip,false,false,true,false,right,false,false,false,false,carlo,0,Vertical,Vertical,Y_down,Y_down,Y_down,false,true,Y_down_Or,0,DGS,WestEuro,DGS
bird,German,E,true,palm,true,false,true,false,right,false,false,false,false,carlo,1,Vertical,Vertical,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
black,German,5_b,false,radial_side,false,true,false,false,right,false,false,false,false,carlo,0,forehead,head,X_left,X_left,X_left,true,false,X_left_Hs,0,DGS,WestEuro,DGS
blood,German,E,false,back_of_fingers,false,false,false,false,right,false,false,false,false,carlo,0,finger_fronts,hand,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
boring,German,A,false,tip,true,false,false,false,right,false,false,false,false,carlo,0,chin,head,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
brother,German,1,true,radial_side,true,false,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
bug,German,5_nb,false,tip,false,true,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,Z_front,Z_front,Z_front,true,false,Z_front_Hs,0,DGS,WestEuro,DGS
cat,German,L_eb,false,tip,true,false,false,false,right,false,false,false,false,carlo,0,cheek,head,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
child,German,E,false,palm,false,false,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
correct,German,V,true,ulnar_side,false,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
count,German,1,false,ulnar_side,true,false,false,false,right,false,false,false,false,carlo,0,radial_side,hand,Z_back,Z_back,Z_back,false,false,Z_back,0,DGS,WestEuro,DGS
dance,German,L_bnb,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
day,German,E_bnb,false,tip,false,true,false,false,right,false,false,false,false,carlo,0,below_chin,head,Y_down,Y_down,Y_down,true,false,Y_down_Hs,0,DGS,WestEuro,DGS
die,German,E,false,back_of_palm,false,false,true,false,right,false,false,false,false,Annotator,0,Horizontal,Horizontal,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
dirty,German,A,false,back_of_fingers,true,false,false,false,right,false,false,false,false,carlo,0,nose,head,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
dog,German,E,true,back_of_fingers,true,true,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,true,false,Hs_Change,true,false,Hs,0,DGS,WestEuro,DGS
dry,German,E_b,true,tip,false,true,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,X_right,X_right,X_right,true,false,X_right_Hs,0,DGS,WestEuro,DGS
dust,German,5_nb,true,tip,false,false,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
earth,German,5,true,radial_side,false,false,true,false,right,false,false,false,false,carlo,1,Lateral,Lateral,Z_front,Z_front,Z_front,false,true,Z_front_Or,0,DGS,WestEuro,DGS
egg,German,L_nb,false,tip,false,false,true,false,right,false,false,false,false,carlo,0,Lateral,Lateral,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
father,German,V,false,back_of_fingers,false,false,true,false,right,false,false,false,false,carlo,0,chin,head,Y_up,Y_up,Y_up,false,true,Y_up_Or,0,DGS,WestEuro,DGS
feather,German,L_b,false,finger_fronts,true,true,false,false,right,false,false,false,false,carlo,0,tip,hand,X_right,X_right,X_right,true,false,X_right_Hs,0,DGS,WestEuro,DGS
fire,German,5,true,palm,true,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,Y_up,Y_up,Y_up,false,false,Y_up,0,DGS,WestEuro,DGS
fish,German,E,false,tip,false,false,true,false,right,false,false,false,false,carlo,0,Lateral,Lateral,X_left,X_left,X_left,false,true,X_left_Or,0,DGS,WestEuro,DGS
flower,German,S,false,back_of_palm,false,true,false,false,right,false,false,false,false,carlo,0,palm,hand,Y_up,Y_up,Y_up,true,false,Y_up_Hs,0,DGS,WestEuro,DGS
full,German,B,false,back_of_palm,false,false,false,false,right,false,false,false,false,carlo,0,palm,hand,Y_up,Y_up,Y_up,false,false,Y_up,0,DGS,WestEuro,DGS
good,German,L_enb,true,tip,false,false,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
grass,German,1,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_up,Y_up,Y_up,false,false,Y_up,0,DGS,WestEuro,DGS
grease,German,5,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
green,German,I,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_up,Y_up,Y_up,false,false,Y_up,0,DGS,WestEuro,DGS
heavy,German,S,true,back_of_palm,false,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_up,Y_up,Y_up,false,false,Y_up,0,DGS,WestEuro,DGS
how,German,Y,true,ulnar_side,false,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
husband,German,I,false,ulnar_side,false,false,false,false,right,false,false,true,false,carlo,0,back_of_fingers,hand,X_left,X_left,X_left,false,false,X_left,1,DGS,WestEuro,DGS
ice,German,S,false,radial_side,true,false,true,false,right,false,false,false,false,carlo,0,mouth,head,Y_down,Y_down,Y_down,false,true,Y_down_Or,0,DGS,WestEuro,DGS
if,German,1,false,tip,false,false,false,false,right,false,false,false,false,carlo,0,nose,head,Z_back,Z_back,Z_back,false,false,Z_back,0,DGS,WestEuro,DGS
kill,German,1_nb,false,tip,false,false,false,false,right,false,false,false,false,Annotator,0,Vertical,Vertical,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
laugh,German,L,false,finger_fronts,true,false,false,false,right,false,false,false,false,carlo,0,chin,head,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
leaf,German,L_b,false,tip,false,true,false,false,right,false,false,false,false,carlo,0,tip,hand,Z_front,Z_front,Z_front,true,false,Z_front_Hs,0,DGS,WestEuro,DGS
lie,German,1,false,finger_fronts,true,false,false,false,right,false,false,false,false,carlo,0,chin,head,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
live,German,A,true,heel,true,false,true,false,right,false,false,false,false,carlo,1,Lateral,Lateral,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
long,German,E,false,finger_fronts,false,false,false,false,right,false,false,false,false,carlo,0,back_of_fingers,hand,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
look_for,German,V_nb,false,tip,true,false,false,false,right,false,false,false,false,carlo,0,mouth,head,Z_back,Z_back,Z_back,false,false,Z_back,0,DGS,WestEuro,DGS
man,German,E,false,finger_fronts,false,true,false,false,right,false,false,false,false,carlo,0,top,head,X_right,X_right,X_right,true,false,X_right_Hs,0,DGS,WestEuro,DGS
meat,German,E_nb,false,finger_fronts,true,false,false,false,right,false,false,false,false,carlo,0,radial_side,hand,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
moon,German,L,false,tip,false,true,false,false,right,false,false,false,false,carlo,0,Vertical,Vertical,Y_down,Y_down,Y_down,true,false,Y_down_Hs,0,DGS,WestEuro,DGS
mother,German,1,false,radial_side,true,false,false,false,right,false,false,false,false,carlo,0,cheek,head,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
mountain,German,5,false,palm,false,false,true,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,X_right,X_right,X_right,false,true,X_right_Or,0,DGS,WestEuro,DGS
name,German,1,false,tip,true,true,false,false,right,false,false,false,false,carlo,0,cheek,head,true,false,Hs_Change,true,false,Hs,0,DGS,WestEuro,DGS
narrow,German,E,true,palm,false,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
new,German,S,false,heel,false,true,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,Y_up,Y_up,Y_up,true,false,Y_up_Hs,0,DGS,WestEuro,DGS
night,German,E,true,palm,false,true,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,X_left,X_left,X_left,true,false,X_left_Hs,0,DGS,WestEuro,DGS
not,German,1,true,finger_fronts,false,false,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
old,German,L_bnb,false,radial_side,false,false,false,false,right,false,false,false,false,carlo,0,cheek,head,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
other,German,1,true,tip,false,false,true,false,right,false,false,false,false,Annotator,1,Lateral,Lateral,Y_down,Y_down,Y_down,false,true,Y_down_Or,0,DGS,WestEuro,DGS
person,German,L_nb,false,tip,false,false,false,false,right,false,false,false,false,carlo,0,Vertical,Vertical,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
pig,German,5_nb,false,tip,false,false,false,false,right,false,false,false,false,carlo,0,nose,head,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
play,German,L_enb,false,ulnar_side,true,false,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
rain,German,5,true,palm,true,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
red,German,1,false,tip,true,true,false,false,right,false,false,false,false,carlo,0,chin,head,true,false,Hs_Change,true,false,Hs,0,DGS,WestEuro,DGS
river,German,E,true,palm,true,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
salt,German,L_b,false,tip,false,true,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,true,false,Hs_Change,true,false,Hs,0,DGS,WestEuro,DGS
sea,German,5,false,palm,false,true,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,X_right,X_right,X_right,true,false,X_right_Hs,0,DGS,WestEuro,DGS
sharp,German,E,false,ulnar_side,false,false,false,false,right,false,false,false,false,carlo,0,palm,hand,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
short,German,E,true,palm,false,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
singing,German,1,true,tip,true,false,true,false,right,false,false,false,false,Annotator,1,Lateral,Lateral,Y_down,Y_down,Y_down,false,true,Y_down_Or,0,DGS,WestEuro,DGS
sister,German,1,true,radial_side,true,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
sit,German,V_nb,true,heel,false,false,false,false,right,false,false,false,false,Annotator,1,Lateral,Lateral,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
smooth,German,E,false,palm,false,false,false,false,right,false,false,false,false,carlo,0,palm,hand,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
snake,German,E,false,tip,false,false,true,false,right,false,false,false,false,carlo,0,Vertical,Vertical,Z_front,Z_front,Z_front,false,true,Z_front_Or,0,DGS,WestEuro,DGS
snow,German,5_nb,true,tip,false,false,true,false,right,false,false,false,false,carlo,1,Lateral,Lateral,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
stand,German,V,false,tip,false,false,false,false,right,false,false,false,false,carlo,0,palm,hand,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
star,German,1,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
stone,German,E_nb,false,back_of_palm,true,false,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
string,German,L_nb,false,tip,false,false,true,false,right,false,false,false,false,carlo,0,tip,hand,X_right,X_right,X_right,false,true,X_right_Or,0,DGS,WestEuro,DGS
sun,German,E_bnb,false,heel,false,true,false,false,right,false,false,false,false,carlo,0,Lateral,Lateral,X_left,X_left,X_left,true,false,X_left_Hs,0,DGS,WestEuro,DGS
tail,German,E_nb,false,finger_fronts,false,true,false,false,right,false,false,false,false,carlo,0,waist,torso,Y_up,Y_up,Y_up,true,false,Y_up_Hs,0,DGS,WestEuro,DGS
thin,German,E,true,ulnar_side,false,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
tree,German,5,false,ulnar_side,true,false,false,false,right,false,false,false,false,carlo,0,Lateral,Lateral,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
vomit,German,5,false,palm,false,false,false,false,right,false,false,false,false,carlo,0,below_chin,head,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
warm,German,5,false,palm,false,true,false,false,right,false,false,false,false,carlo,0,mouth,head,Y_up,Y_up,Y_up,true,false,Y_up_Hs,0,DGS,WestEuro,DGS
water,German,5,false,radial_side,true,false,false,false,right,false,false,false,false,carlo,0,neck,torso,Z_back,Z_back,Z_back,false,false,Z_back,0,DGS,WestEuro,DGS
wet,German,E_b,true,finger_fronts,true,true,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,true,false,Hs_Change,true,false,Hs,0,DGS,WestEuro,DGS
what,German,E,true,back_of_palm,true,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
when,German,E,false,palm,false,false,true,false,right,false,false,false,false,carlo,0,Vertical,Vertical,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
where,German,E,true,back_of_palm,false,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
white,German,1,false,radial_side,false,false,false,false,right,false,false,false,false,carlo,0,chin,head,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
who,German,R,false,radial_side,true,false,false,false,right,false,false,false,false,carlo,0,Lateral,Lateral,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
wide,German,1,false,tip,false,false,false,false,right,false,false,false,false,carlo,0,Vertical,Vertical,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
wife,German,I,false,tip,false,false,false,false,right,false,false,false,false,carlo,0,back_of_fingers,hand,X_left,X_left,X_left,false,false,X_left,1,DGS,WestEuro,DGS
wind,German,S,true,heel,true,false,true,false,right,false,false,false,false,carlo,1,Lateral,Lateral,X_left,X_left,X_left,false,true,X_left_Or,0,DGS,WestEuro,DGS
with,German,E,false,finger_fronts,false,true,false,false,right,false,false,false,false,carlo,0,Lateral,Lateral,X_left,X_left,X_left,true,false,X_left_Hs,0,DGS,WestEuro,DGS
woman,German,L_eb,false,tip,false,false,false,false,right,false,false,false,false,carlo,0,cheek,head,Z_back,Z_back,Z_back,false,false,Z_back,0,DGS,WestEuro,DGS
wood,German,H,false,ulnar_side,true,false,false,false,right,false,false,false,false,carlo,0,finger_fronts,hand,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
work,German,S,false,ulnar_side,true,false,false,false,right,false,false,false,false,carlo,0,radial_side,hand,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
worm,German,1,false,finger_fronts,false,true,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,Z_front,Z_front,Z_front,true,false,Z_front_Hs,0,DGS,WestEuro,DGS
year,German,Y,false,back_of_palm,false,false,false,false,right,false,false,false,false,carlo,0,Vertical,Vertical,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
yellow,German,Y,false,finger_fronts,false,false,true,false,right,false,false,false,false,carlo,0,Lateral,Lateral,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
all,Russian,5,false,palm,false,true,false,false,right,false,false,false,false,shi,0,Lateral,Lateral,X_left,X_left,X_left,true,false,X_left_Hs,0,RSL,EastEuro,RSL
animal,Russian,5_nb,true,back_of_fingers,true,false,true,false,right,false,false,false,false,Annotator,1,waist,torso,false,true,Or_Change,false,true,Or,0,RSL,EastEuro,RSL
bad,Russian,I,false,ulnar_side,false,false,false,false,right,false,false,false,false,Annotator,0,Vertical,Vertical,Z_front,Z_front,Z_front,false,false,Z_front,0,RSL,EastEuro,RSL
because,Russian,1,false,finger_fronts,true,false,true,false,right,false,false,false,false,Annotator,0,Lateral,Lateral,false,true,Or_Change,false,true,Or,0,RSL,EastEuro,RSL
bird,Russian,L,false,back_of_palm,true,true,false,false,right,true,true,false,true,Annotator,0,mouth,head,true,false,Hs_Change,true,false,Hs,1,RSL,EastEuro,RSL
black,Russian,5_nb,false,tip,true,false,false,false,right,false,false,false,false,Annotator,0,forehead,head,Z_back,Z_back,Z_back,false,false,Z_back,0,RSL,EastEuro,RSL
blood,Russian,1,false,tip,false,false,false,false,right,false,true,false,false,shi,0,lip,head,Z_back,Z_back,Z_back,false,false,Z_back,1,RSL,EastEuro,RSL
boring,Russian,U_nb,false,tip,false,false,true,false,right,false,false,false,false,shi,0,nose,head,Y_down,Y_down,Y_down,false,true,Y_down_Or,0,RSL,EastEuro,RSL
brother,Russian,1,false,tip,false,false,false,false,right,false,false,false,false,shi,0,forehead,head,Z_back,Z_back,Z_back,false,false,Z_back,1,RSL,EastEuro,RSL
bug,Russian,5_nb,false,tip,false,true,false,false,right,false,false,false,false,shi,0,forearm_front,arm,X_left,X_left,X_left,true,false,X_left_Hs,0,RSL,EastEuro,RSL
cat,Russian,L_eb,false,tip,true,false,false,false,right,false,false,false,false,shi,0,mouth,head,X_right,X_right,X_right,false,false,X_right,0,RSL,EastEuro,RSL
child,Russian,Q,false,finger_fronts,true,false,true,false,right,false,false,false,false,shi,0,Vertical,Vertical,false,true,Or_Change,false,true,Or,0,RSL,EastEuro,RSL
correct,Russian,L_enb,true,ulnar_side,false,false,true,false,right,false,false,false,false,shi,1,Vertical,Vertical,Y_down,Y_down,Y_down,false,true,Y_down_Or,0,RSL,EastEuro,RSL
count,Russian,5,true,back_of_fingers,false,true,true,false,right,false,false,false,false,shi,1,Lateral,Lateral,Y_down,Y_down,Y_down,true,true,Y_down_Hs_Or,0,RSL,EastEuro,RSL
dance,Russian,V,true,finger_fronts,true,false,true,false,right,false,false,false,false,shi,1,Vertical,Vertical,false,true,Or_Change,false,true,Or,0,RSL,EastEuro,RSL
day,Russian,5_b,true,back_of_palm,false,true,false,false,right,false,false,false,false,shi,1,Horizontal,Horizontal,Y_down,Y_down,Y_down,true,false,Y_down_Hs,0,RSL,EastEuro,RSL
die,Russian,V,false,finger_fronts,false,false,true,false,right,false,false,false,false,Annotator,0,Torso_top,torso,Y_down,Y_down,Y_down,false,true,Y_down_Or,0,RSL,EastEuro,RSL
dirty,Russian,5,true,palm,true,false,false,false,right,false,false,false,false,shi,1,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,RSL,EastEuro,RSL
dog,Russian,5_nb,true,tip,true,false,true,false,right,false,false,false,false,shi,1,Torso_top,torso,false,true,Or_Change,false,true,Or,0,RSL,EastEuro,RSL
dry,Russian,S,false,heel,false,false,false,false,right,false,false,false,false,shi,0,heel,NA,X_left,X_left,X_left,false,false,X_left,0,RSL,EastEuro,RSL
dust,Russian,M_enb,false,tip,false,false,false,false,right,false,false,false,false,Annotator,0,Torso_top,torso,X_right,X_right,X_right,false,false,X_right,0,RSL,EastEuro,RSL
earth,Russian,5_b,false,finger_fronts,true,true,false,false,right,true,false,false,true,Annotator,0,tip,hand,true,false,Hs_Change,true,false,Hs,1,RSL,EastEuro,RSL
egg,Russian,1_nb,false,tip,true,false,false,false,right,false,false,false,false,shi,0,chin,head,Z_back,Z_back,Z_back,false,false,Z_back,0,RSL,EastEuro,RSL
father,Russian,B_b,false,radial_side,false,false,false,false,right,false,false,false,false,Annotator,0,forehead,head,Y_down,Y_down,Y_down,false,false,Y_down,0,RSL,EastEuro,RSL
feather,Russian,L_b,false,tip,false,true,false,false,right,false,false,false,false,Annotator,0,tip,hand,X_right,X_right,X_right,true,false,X_right_Hs,0,RSL,EastEuro,RSL
fire,Russian,6,true,tip,true,false,false,false,right,false,false,false,false,shi,1,Horizontal,Horizontal,X_left,X_left,X_left,false,false,X_left,0,RSL,EastEuro,RSL
fish,Russian,E,false,radial_side,true,true,false,false,right,false,false,false,false,shi,0,nose,head,true,false,Hs_Change,true,false,Hs,0,RSL,EastEuro,RSL
flower,Russian,E_bnb,false,tip,true,true,false,false,right,false,false,false,false,shi,0,nose,head,true,false,Hs_Change,true,false,Hs,0,RSL,EastEuro,RSL
full,Russian,E,false,palm,false,false,false,false,right,false,false,false,false,shi,0,radial_side,hand,Z_front,Z_front,Z_front,false,false,Z_front,0,RSL,EastEuro,RSL
good,Russian,E,false,finger_fronts,true,false,false,false,right,false,true,false,false,shi,0,forehead,head,Z_back,Z_back,Z_back,false,false,Z_back,1,RSL,EastEuro,RSL
grass,Russian,5,true,palm,true,false,false,false,right,false,false,false,false,shi,1,Lateral,Lateral,Y_up,Y_up,Y_up,false,false,Y_up,0,RSL,EastEuro,RSL
grease,Russian,B_b,false,back_of_fingers,false,false,false,false,right,false,false,false,false,Annotator,0,below_chin,head,Z_front,Z_front,Z_front,false,false,Z_front,0,RSL,EastEuro,RSL
green,Russian,1,false,radial_side,true,false,false,false,right,false,false,false,false,shi,0,cheek,head,Z_back,Z_back,Z_back,false,false,Z_back,0,RSL,EastEuro,RSL
