"X","Language","Meaning","C1","V1","C2","V2"
1,"Mẽbêngôkre","FARM","p","u","r","∅"
2,"Mẽbêngôkre","FISH","t","e","p","∅"
3,"Mẽbêngôkre","POUR","k","a","p","ĩ"
4,"Mẽbêngôkre","PATH","p","∅","r","y"
5,"Mẽbêngôkre","COVER","p","∅","r","o"
6,"Mẽbêngôkre","WIFE","p","∅","r","õ"
7,"Mẽbêngôkre","MACAW","m","ə","n","∅"
8,"Mẽbêngôkre","SUN","m","y","t","∅"
9,"Mẽbêngôkre","GO (PLURAL)","m","õ","r","∅"
10,"Mẽbêngôkre","SEE","p","u","m","ũ"
11,"Mẽbêngôkre","NECK","m","u","t","∅"
12,"Mẽbêngôkre","GOOD","m","e","c","∅"
13,"Mẽbêngôkre","HONEY","m","e","ñ","∅"
14,"Mẽbêngôkre","THROW","m","ẽ","ñ","∅"
15,"Mẽbêngôkre","WALK (SINGULAR)","m","∅","r","ã"
16,"Mẽbêngôkre","THROW (SINGULAR)","k","a","b","a"
17,"Mẽbêngôkre","WHISTLE","∅","a","b","ô"
18,"Mẽbêngôkre","NON-INDIGENOUS","k","u","b","ẽ"
19,"Mẽbêngôkre","SCRATCH","b","ê","ñ","∅"
20,"Mẽbêngôkre","BLOW","w","a","b","ê"
21,"Mẽbêngôkre","MOVE UP","w","a","b","i"
22,"Mẽbêngôkre","KILL (SINGULAR)","b","ĩ","r","∅"
23,"Mẽbêngôkre","DIE","t","y","k","∅"
24,"Mẽbêngôkre","GO OUT","k","a","t","o"
25,"Mẽbêngôkre","BE BORN","k","a","t","o"
26,"Mẽbêngôkre","PISS","∅","i","t","u"
27,"Mẽbêngôkre","ROTTEN","k","∅","ɾ","ɔ"
28,"Mẽbêngôkre","GO (SINGULAR)","t","ẽ","m","∅"
29,"Mẽbêngôkre","BURN","c","ê","r","∅"
30,"Mẽbêngôkre","SQUEEZE","j","a","n","ê"
31,"Mẽbêngôkre","ALL","k","u","n","i"
32,"Mẽbêngôkre","WING","j","a","r","a"
33,"Mẽbêngôkre","IMAGE","k","a","r","õ"
34,"Mẽbêngôkre","SPIRIT","k","a","r","õ"
35,"Mẽbêngôkre","THROW (PLURAL)","r","ẽ","ñ","∅"
36,"Mẽbêngôkre","TELL","j","a","r","ẽ"
37,"Mẽbêngôkre","LOOK","r","ĩ","t","∅"
38,"Mẽbêngôkre","BASKET","k","a","c","∅"
39,"Mẽbêngôkre","BIG BIRD","∅","ə","k","∅"
40,"Mẽbêngôkre","FALCON","∅","ə","k","∅"
41,"Mẽbêngôkre","FIRE","k","∅","w","y"
42,"Mẽbêngôkre","PAINT","ʔ","ô","k","∅"
43,"Mẽbêngôkre","CHILD","j","a","∅","ê"
44,"Mẽbêngôkre","LIE","ʔ","ê","c","∅"
45,"Mẽbêngôkre","BITE","ñ","ã","ñ","∅"
46,"Mẽbêngôkre","HANG (SINGULAR)","ñ","ô","r","∅"
47,"Mẽbêngôkre","ENTER (SINGULAR)","w","a","ĵ","ə"
48,"Mẽbêngôkre","BE SEATED (SINGULAR)","ñ","ỹ","r","∅"
49,"Mẽbêngôkre","TOOTH","ĵ","∅","w","a"
50,"Mẽbêngôkre","PLACE LAYING DOWN (SINGULAR)","ĵ","i","r","∅"
51,"Mẽbêngôkre","SWEET POTATO","j","ə","t","∅"
52,"Mẽbêngôkre","WHO","ñ","ỹ","m","∅"
53,"Mẽbêngôkre","SING (BIRDS)","k","ə","r","∅"
54,"Mẽbêngôkre","AXE","k","ə","c","∅"
55,"Mẽbêngôkre","KNIFE","k","ə","c","∅"
56,"Mẽbêngôkre","DRINK","∅","i","k","õ"
57,"Mẽbêngôkre","THIRST","k","ɔ","ɾ","∅"
58,"Mẽbêngôkre","EAT (PLURAL)","k","u","ɾ","∅"
59,"Mẽbêngôkre","STONE","k","ẽ","n","∅"
60,"Mẽbêngôkre","HAPPY","k","ĩ","ɲ","∅"
61,"Mẽbêngôkre","LIKE","k","ĩ","ɲ","∅"
62,"Mẽbêngôkre","HEAD","k","∅","ɾ","ə̃"
63,"Mẽbêngôkre","COLD","k","∅","ɾ","ɨ"
64,"Mẽbêngôkre","HOLE","k","∅","ɾ","ɛ"
65,"Mẽbêngôkre","BE SITTING (PLURAL)","k","∅","ɾ","ĩ"
66,"Mẽbêngôkre","SNAKE","k","a","ŋ","ə̃"
67,"Mẽbêngôkre","LIQUID","k","a","ŋ","ɔ"
68,"Mẽbêngôkre","DRY","ŋ","∅","ɾ","ə"
69,"Mẽbêngôkre","EGG","ŋ","∅","ɾ","ɛ"
70,"Mẽbêngôkre","VAGINA","ŋ","∅","ɾ","ɛ"
71,"Mẽbêngôkre","DANCE","ŋ","∅","ɾ","ɛ"
72,"Mẽbêngôkre","SING","ŋ","∅","ɾ","ɛ"
73,"Mẽbêngôkre","ROAST (PLURAL)","ĵ","ə","ɾ","∅"
74,"Mẽbêngôkre","SLEEP","ŋ","õ","ɾ","∅"
75,"Apinayé","FARM","p","u","r","∅"
76,"Apinayé","FISH","t","e","p","∅"
77,"Apinayé","POUR","k","a","p","ĩ"
78,"Apinayé","PATH","p","∅","r","y"
79,"Apinayé","COVER","p","∅","r","o"
80,"Apinayé","WIFE","p","∅","r","õ"
81,"Apinayé","MACAW","m/b","ə","n","∅"
82,"Apinayé","SUN","m/b","y","t","∅"
83,"Apinayé","GO (PLURAL)","m","õ","r","∅"
84,"Apinayé","SEE","p","u","m/b","u"
85,"Apinayé","NECK","m/b","u","t","∅"
86,"Apinayé","GOOD","m/b","e","c","∅"
87,"Apinayé","HONEY","m/b","e","ñ","∅"
88,"Apinayé","THROW","m","ẽ","ñ","∅"
89,"Apinayé","WALK (SINGULAR)","m/b","∅","r","a"
90,"Apinayé","THROW (SINGULAR)","k","a","p","a"
91,"Apinayé","WHISTLE","k","ə","r","∅"
92,"Apinayé","NON-INDIGENOUS","k","u","p","ẽ"
93,"Apinayé","SCRATCH","j","a","k","ə"
94,"Apinayé","BLOW","∅","a","p","ê"
95,"Apinayé","MOVE UP","∅","a","p","i"
96,"Apinayé","KILL (SINGULAR)","p","ĩ","r","∅"
97,"Apinayé","DIE","t","y","k","∅"
98,"Apinayé","GO OUT","k","a","t","o"
99,"Apinayé","BE BORN","k","a","t","o"
100,"Apinayé","PISS","t","u","r","∅"
101,"Apinayé","ROTTEN","k","∅","ɾ","ɔ"
102,"Apinayé","GO (SINGULAR)","t","ẽ","m","∅"
103,"Apinayé","BURN","c","ê","r","∅"
104,"Apinayé","SQUEEZE","j","a","n/d","ê"
105,"Apinayé","ALL","v","ə̂","r","∅"
106,"Apinayé","WING","j","a","r","a"
107,"Apinayé","IMAGE","k","a","r","õ"
108,"Apinayé","SPIRIT","k","a","r","õ"
109,"Apinayé","THROW (PLURAL)","r","ẽ","ñ","∅"
110,"Apinayé","TELL","j","a","r","ẽ"
111,"Apinayé","LOOK","r","ĩ","t","∅"
112,"Apinayé","BASKET","k","a","v","ə"
113,"Apinayé","BIG BIRD","∅","ə","k","∅"
114,"Apinayé","FALCON","∅","ə","k","∅"
115,"Apinayé","FIRE","k","u","v","y"
116,"Apinayé","PAINT","ʔ","ô","k","∅"
117,"Apinayé","CHILD","j","a","∅","ê"
118,"Apinayé","LIE","ʔ","ê","c","∅"
119,"Apinayé","BITE","n","∅","ĵ","a"
120,"Apinayé","HANG (SINGULAR)","n","∅","ĵ","ô"
121,"Apinayé","ENTER (SINGULAR)","∅","a","c","ə"
122,"Apinayé","BE SEATED (SINGULAR)","ñ","ỹ","r","∅"
123,"Apinayé","TOOTH","c","∅","v","a"
124,"Apinayé","PLACE LAYING DOWN (SINGULAR)","c","i","r","∅"
125,"Apinayé","SWEET POTATO","j","ə","t","∅"
126,"Apinayé","WHO","ñ","ũ","m","∅"
127,"Apinayé","SING (BIRDS)","k","ə","r","∅"
128,"Apinayé","AXE","k","ə","c","∅"
129,"Apinayé","KNIFE","k","ə","c","∅"
130,"Apinayé","DRINK","k","õ","m","∅"
131,"Apinayé","THIRST","k","ɔ","ɾ","∅"
132,"Apinayé","EAT (PLURAL)","k","u","ɾ","∅"
133,"Apinayé","STONE","k","ẽ","n","∅"
134,"Apinayé","HAPPY","k","ĩ","ɲ","∅"
135,"Apinayé","LIKE","k","ĩ","ɲ","∅"
136,"Apinayé","HEAD","k","∅","ɾ","ə̃"
137,"Apinayé","COLD","k","∅","ɾ","ɨ"
138,"Apinayé","HOLE","k","∅","ɾ","ɛ"
139,"Apinayé","BE SITTING (PLURAL)","k","∅","ɾ","ĩ"
140,"Apinayé","SNAKE","k","a","ŋ","ə̃"
141,"Apinayé","LIQUID","k","a","ŋ/g","ɔ"
142,"Apinayé","DRY","ŋ/g","∅","ɾ","ə"
143,"Apinayé","EGG","ŋ/g","∅","ɾ","ɛ"
144,"Apinayé","VAGINA","ŋ/g","∅","ɾ","ɛ"
145,"Apinayé","DANCE","ŋ/g","∅","ɾ","ɛ"
146,"Apinayé","SING","ŋ/g","∅","ɾ","ɛ"
147,"Apinayé","ROAST (PLURAL)","c","ə","ɾ","∅"
148,"Apinayé","SLEEP","ŋ","õ","ɾ","∅"
149,"Kĩsêdjê","FARM","h","u","r","∅"
150,"Kĩsêdjê","FISH","ṭʰ","e","p","∅"
151,"Kĩsêdjê","POUR","r","u","n","∅"
152,"Kĩsêdjê","PATH","h","∅","r","y"
153,"Kĩsêdjê","COVER","h","∅","r","o"
154,"Kĩsêdjê","WIFE","h","∅","r","õ"
155,"Kĩsêdjê","MACAW","m/b","ə","n","∅"
156,"Kĩsêdjê","SUN","m/b","y","t","∅"
157,"Kĩsêdjê","GO (PLURAL)","m","õ","r","∅"
158,"Kĩsêdjê","SEE","m","ũ","n","∅"
159,"Kĩsêdjê","NECK","m/b","u","t","∅"
160,"Kĩsêdjê","GOOD","m/b","e","t/i","∅"
161,"Kĩsêdjê","HONEY","m/b","e","n","∅"
162,"Kĩsêdjê","THROW","m","ẽ","n","∅"
163,"Kĩsêdjê","WALK (SINGULAR)","m/b","∅","r","a"
164,"Kĩsêdjê","THROW (SINGULAR)","k","a","p","a"
165,"Kĩsêdjê","WHISTLE","kʰ","ə","r","∅"
166,"Kĩsêdjê","NON-INDIGENOUS","k","u","p","ẽ"
167,"Kĩsêdjê","SCRATCH","k","a","kʰ","ɛ"
168,"Kĩsêdjê","BLOW","∅","a","p","ê"
169,"Kĩsêdjê","MOVE UP","∅","a","p","i"
170,"Kĩsêdjê","KILL (SINGULAR)","p","ĩ","r","∅"
171,"Kĩsêdjê","DIE","ṭʰ","y","k","∅"
172,"Kĩsêdjê","GO OUT","k","a","ṭʰ","o"
173,"Kĩsêdjê","BE BORN","k","a","ṭʰ","o"
174,"Kĩsêdjê","PISS","∅","i","ṭʰ","u"
175,"Kĩsêdjê","ROTTEN","kʰ","∅","ɾ","ɔ"
176,"Kĩsêdjê","GO (SINGULAR)","ṭʰ","ẽ","m","∅"
177,"Kĩsêdjê","BURN","s","ê","t","∅"
178,"Kĩsêdjê","SQUEEZE","j","a","n/d","ê"
179,"Kĩsêdjê","ALL","k","u","n","ĩ"
180,"Kĩsêdjê","WING","j","a","r","a"
181,"Kĩsêdjê","IMAGE","k","a","r","õ"
182,"Kĩsêdjê","SPIRIT","k","a","r","õ"
183,"Kĩsêdjê","THROW (PLURAL)","r","ẽ","n","∅"
184,"Kĩsêdjê","TELL","j","a","r","ẽ"
185,"Kĩsêdjê","LOOK","r","i","t","∅"
186,"Kĩsêdjê","BASKET","k","ô","s","ə"
187,"Kĩsêdjê","BIG BIRD","s","ə","k","∅"
188,"Kĩsêdjê","FALCON","s","ə","k","∅"
189,"Kĩsêdjê","FIRE","k","u","s","y"
190,"Kĩsêdjê","PAINT","s","ô","k","∅"
191,"Kĩsêdjê","CHILD","kʰ","∅","ɾ","a"
192,"Kĩsêdjê","LIE","s","ê","t","∅"
193,"Kĩsêdjê","BITE","n","∅","t","a"
194,"Kĩsêdjê","HANG (SINGULAR)","n","∅","t","ô"
195,"Kĩsêdjê","ENTER (SINGULAR)","∅","a","t","ə"
196,"Kĩsêdjê","BE SEATED (SINGULAR)","ñ","ỹ","r","∅"
197,"Kĩsêdjê","TOOTH","t","∅","w","a"
198,"Kĩsêdjê","PLACE LAYING DOWN (SINGULAR)","t","i","r","∅"
199,"Kĩsêdjê","SWEET POTATO","j","ə","t","∅"
200,"Kĩsêdjê","WHO","ñ","ũ","m","∅"
201,"Kĩsêdjê","SING (BIRDS)","kʰ","ə","r","∅"
202,"Kĩsêdjê","AXE","kʰ","ə","t","∅"
203,"Kĩsêdjê","KNIFE","kʰ","ə","t","∅"
204,"Kĩsêdjê","DRINK","∅","i","kʰ","õ"
205,"Kĩsêdjê","THIRST","kʰ","ɔ","ɾ","∅"
206,"Kĩsêdjê","EAT (PLURAL)","kʰ","u","ɾ","∅"
207,"Kĩsêdjê","STONE","kʰ","ẽ","n","∅"
208,"Kĩsêdjê","HAPPY","kʰ","ĩ","n","∅"
209,"Kĩsêdjê","LIKE","kʰ","ĩ","n","∅"
210,"Kĩsêdjê","HEAD","kʰ","∅","ɾ","ə̃"
211,"Kĩsêdjê","COLD","kʰ","∅","ɾ","ɨ"
212,"Kĩsêdjê","HOLE","kʰ","∅","ɾ","ɛ"
213,"Kĩsêdjê","BE SITTING (PLURAL)","kʰ","∅","ɾ","ĩ"
214,"Kĩsêdjê","SNAKE","k","a","ŋ","ə̃"
215,"Kĩsêdjê","LIQUID","k","a","ŋ/g","ɔ"
216,"Kĩsêdjê","DRY","ŋ/g","∅","ɾ","ə"
217,"Kĩsêdjê","EGG","ŋ/g","∅","ɾ","ɛ"
218,"Kĩsêdjê","VAGINA","ŋ/g","∅","ɾ","ɛ"
219,"Kĩsêdjê","DANCE","ŋ/g","∅","ɾ","ɛ"
220,"Kĩsêdjê","SING","ŋ/g","∅","ɾ","ɛ"
221,"Kĩsêdjê","ROAST (PLURAL)","k","a","j","∅"
222,"Kĩsêdjê","SLEEP","ŋ","õ","ɾ","∅"
223,"Tapayúna","FARM","h","u","r","∅"
224,"Tapayúna","FISH","ṭʰ","e","p","∅"
225,"Tapayúna","POUR","r","u","j","∅"
226,"Tapayúna","PATH","h","∅","r","y"
227,"Tapayúna","COVER","h","∅","r","o"
228,"Tapayúna","WIFE","h","∅","r","õ"
229,"Tapayúna","MACAW","w̃","ə","t","∅"
230,"Tapayúna","SUN","w̃","y","t","∅"
231,"Tapayúna","GO (PLURAL)","w̃","õ","r","∅"
232,"Tapayúna","SEE","w̃","u","j","∅"
233,"Tapayúna","NECK","w̃","u","t","∅"
234,"Tapayúna","GOOD","w̃","e","t/i","∅"
235,"Tapayúna","HONEY","w̃","e","j","∅"
236,"Tapayúna","THROW","w̃","ẽ","j","∅"
237,"Tapayúna","WALK (SINGULAR)","n","∅","r","a"
238,"Tapayúna","THROW (SINGULAR)","k","a","w","a"
239,"Tapayúna","WHISTLE","kʰ","ə","r","∅"
240,"Tapayúna","NON-INDIGENOUS","k","u","w","ẽ"
241,"Tapayúna","SCRATCH","w","ê","j","∅"
242,"Tapayúna","BLOW","j","a","kʰ","ɔ"
243,"Tapayúna","MOVE UP","∅","a","w","i"
244,"Tapayúna","KILL (SINGULAR)","w","ĩ","r","∅"
245,"Tapayúna","DIE","ṭʰ","y","k","∅"
246,"Tapayúna","GO OUT","k","a","ṭʰ","o"
247,"Tapayúna","BE BORN","k","a","ṭʰ","o"
248,"Tapayúna","PISS","∅","i","ṭʰ","u"
249,"Tapayúna","ROTTEN","kʰ","∅","ɾ","ɔ"
250,"Tapayúna","GO (SINGULAR)","ṭʰ","ẽ","m","∅"
251,"Tapayúna","BURN","t","ê","t","∅"
252,"Tapayúna","SQUEEZE","j","a","n/d","ê"
253,"Tapayúna","ALL","k","u","n","ĩ"
254,"Tapayúna","WING","j","a","r","a"
255,"Tapayúna","IMAGE","k","a","r","õ"
256,"Tapayúna","SPIRIT","k","a","r","õ"
257,"Tapayúna","THROW (PLURAL)","r","ẽ","j","∅"
258,"Tapayúna","TELL","j","a","r","ẽ"
259,"Tapayúna","LOOK","r","i","t","∅"
260,"Tapayúna","BASKET","k","u","t","ə"
261,"Tapayúna","BIG BIRD","t","ə","k","∅"
262,"Tapayúna","FALCON","t","ə","k","∅"
263,"Tapayúna","FIRE","k","u","t","y"
264,"Tapayúna","PAINT","t","ô","k","∅"
265,"Tapayúna","CHILD","kʰ","∅","ɾ","a"
266,"Tapayúna","LIE","t","ê","t","∅"
267,"Tapayúna","BITE","n","∅","t","a"
268,"Tapayúna","HANG (SINGULAR)","n","∅","t","ô"
269,"Tapayúna","ENTER (SINGULAR)","∅","a","t","ə"
270,"Tapayúna","BE SEATED (SINGULAR)","ñ","ỹ","r","∅"
271,"Tapayúna","TOOTH","t","∅","w","a"
272,"Tapayúna","PLACE LAYING DOWN (SINGULAR)","t","i","r","∅"
273,"Tapayúna","SWEET POTATO","j","ə̂","t","∅"
274,"Tapayúna","WHO","ñ","ũ","w","∅"
275,"Tapayúna","SING (BIRDS)","kʰ","ə","r","∅"
276,"Tapayúna","AXE","kʰ","ə","t","∅"
277,"Tapayúna","KNIFE","kʰ","ə","t","∅"
278,"Tapayúna","DRINK","∅","i","kʰ","õ"
279,"Tapayúna","THIRST","kʰ","ɔ","ɾ","∅"
280,"Tapayúna","EAT (PLURAL)","kʰ","u","ɾ","∅"
281,"Tapayúna","STONE","kʰ","ẽ","n","∅"
282,"Tapayúna","HAPPY","kʰ","ĩ","j","∅"
283,"Tapayúna","LIKE","kʰ","ĩ","j","∅"
284,"Tapayúna","HEAD","kʰ","∅","ɾ","ə̃"
285,"Tapayúna","COLD","kʰ","∅","ɾ","ɨ"
286,"Tapayúna","HOLE","kʰ","∅","ɾ","ɛ"
287,"Tapayúna","BE SITTING (PLURAL)","kʰ","∅","ɾ","ĩ"
288,"Tapayúna","SNAKE","k","a","ŋ","ə̃"
289,"Tapayúna","LIQUID","k","a","ŋ/g","ɔ"
290,"Tapayúna","DRY","ŋ/g","∅","ɾ","ə"
291,"Tapayúna","EGG","ŋ/g","∅","ɾ","ɛ"
292,"Tapayúna","VAGINA","ŋ/g","∅","ɾ","ɛ"
293,"Tapayúna","DANCE","ŋ/g","∅","ɾ","ɛ"
294,"Tapayúna","SING","ŋ/g","∅","ɾ","ɛ"
295,"Tapayúna","ROAST (PLURAL)","t","ə","ɾ","∅"
296,"Tapayúna","SLEEP","ŋ","õ","ɾ","∅"
297,"Parkatêjê","FARM","p","u","r","∅"
298,"Parkatêjê","FISH","t","e","p","∅"
299,"Parkatêjê","POUR","r","u","r","∅"
300,"Parkatêjê","PATH","p","∅","r","y"
301,"Parkatêjê","COVER","p","∅","r","o"
302,"Parkatêjê","WIFE","p","∅","r","õ"
303,"Parkatêjê","MACAW","p","ə","n","∅"
304,"Parkatêjê","SUN","p","y","t","∅"
